Topic,Link,Notes,Video IDs,
morning routine,https://www.youtube.com/watch?v=DjyFaMRTFj4,"music background, no voice",,
morning routine,https://www.youtube.com/watch?v=5UUu3P02sOQ,added musical background,,
class in elementary school,https://www.youtube.com/watch?v=nvqY5ybRcng,,,
group activity kids,https://www.youtube.com/watch?v=oW6n7Diprtc,,,
group activity kids,https://www.youtube.com/watch?v=EM0XK8fTDDs,,,
group activity kids,https://www.youtube.com/watch?v=62IUlW4Z0tM,,,
kids dancing,https://www.youtube.com/watch?v=8kQ8Td2KVUs,,,
kids eating,https://www.youtube.com/watch?v=H8WeB4ehjoY,no dialogue,,
kids eating,https://www.youtube.com/watch?v=udKv15Nt9Rs,no dialogue,,
kids playing,https://www.youtube.com/watch?v=sCTmOqkgueo,,,
giving presents to the homeless,https://www.youtube.com/watch?v=8hM3JQod1xA,,,
giving mom a present,https://www.youtube.com/watch?v=9GO2GANxDGY,after min 2:00,,
mother - daughter cooking,https://youtu.be/Dlf9LN1QCFg,"filmed for TV, but dialogue is genuine",,
girl gets Christmas puppy,https://www.youtube.com/watch?v=kE1BpSp5ZVg,,,
family unwrapping presents,https://www.youtube.com/watch?v=gtTf3vZEwQw,,,
buying flowers,https://www.youtube.com/watch?v=wMyGXLlEVNw,starts at 1:40,,
buying fish ,https://www.youtube.com/watch?v=mZMu7chHUeU,starts at 6:44,,
mother & kids decluttering room,https://www.youtube.com/watch?v=JS60qyA1Kws,starts at 2:00; interrupted by mom's explanations,,
father & kids repairing,https://www.youtube.com/watch?v=SVyaKQHvyJ8,starts at 4:00,,
kids fixing a bike,https://www.youtube.com/watch?v=5jFtfJNr4Nc,,,
father & kid unwrapping and assembling toy car,https://www.youtube.com/watch?v=VdRr_cLhZxM,starts at 0:30,"68,69,70,71,72,73,74",
kid receiving a pet,https://www.youtube.com/watch?v=BzUf5o7DlXY,starts at 1:40,"59,60,61,62,63,64,65,66,67",
mother & kid making breakfast,https://www.youtube.com/watch?v=oxzA7O597a8,starts at 2:00,"75,76,77,78,79,80,81,82,83,84,85",
"family breakfast, giving presents, and scavengerhunt",https://www.youtube.com/watch?v=IFwAJPN27AE,starts at 0:50,"86,87,88,89,90,91,92,93,94,95,96",
kids doing homework,https://www.youtube.com/watch?v=yg0y30nWqd0,,"97,98,99,100",
shopping at the market and making dinner,https://www.youtube.com/watch?v=IzCXyXXkjKE,starts at 0:15; musical background,"101,102,103,104",
teaching kids handstands,https://www.youtube.com/watch?v=osjTfOQe7Rw,,"105,106",
teaching kids aerobics,https://www.youtube.com/watch?v=W1dY7omecSw,,"107,108,109,110,111,000,000",
buying shoes,https://www.youtube.com/watch?v=EwDyECw3grA,starts at 3:00; musical background,"114,115,116,117,118",
friends shopping,https://www.youtube.com/watch?v=8gamPx-DHAw,starts at 1:00,"119,120,121",
mother & child gardening,https://www.youtube.com/watch?v=E0QxxHxeTlI,,122,
brother & sister driving to the mall,https://www.youtube.com/watch?v=TGUYv10XdTI,starts at 0:40,123,
class 1st grade,https://www.youtube.com/watch?v=aaweXw03kQI,,"124,125,126",
packing for vacation,https://www.youtube.com/watch?v=W1_WorcmxPM,starts at 1:35,"127, 128, 129,130, 131, 132, 133, 134, 135, 136",
kids making cake,https://www.youtube.com/watch?v=CzC6q-tUVVI,,"137, 138, 139, 140, 141, 142, 143, 144",
kids playing at home,https://www.youtube.com/watch?v=ItAiqsVEA2c,,"145, 146",
kids playing indoors,https://www.youtube.com/watch?v=JGTOwcd1Rf4,,"147, 148",
girlfriends arranging hair,https://www.youtube.com/watch?v=5-yGA_lTljA,starts at 1:15,"149, 150, 151, 152, 153, 154, 155, 156",
girlfriends arranging hair,https://www.youtube.com/watch?v=jacyQPkeiZU,starts at 0:40,"157, 158, 159, 160, 161, 162, 163, 164, 165, 166, 167",LOW QUAL
building with lego,https://www.youtube.com/watch?v=Agcy3mMdNUc,,"168, 169, 170, 171, 172, 173, 174",
kids unwrapping gifts,https://www.youtube.com/watch?v=wM24NQYVZO8,starts at 3:00,"175, 176, 177, 178, 179, 180, 181, 182",
kids eating,https://www.youtube.com/watch?v=nSFMDGRAb1w,,"183, 184",LOW QUAL
mom and kid writing,https://www.youtube.com/watch?v=2Utw8B03Nww,,"185, 186",
family making pizza,https://www.youtube.com/watch?v=NqTTtwgOKeY,starts at 1:50,"187, 188, 189, 190, 191, 192, 193, 194, 195, 196, 197, 198, 199, 200, 201, 202, 203, 204, 205",
family challenge,https://www.youtube.com/watch?v=2G5czNVhAJQ,starts at 2:30,"206, 207, 208, 209, 210",Lot of the same type/format. Chose 5 from there.
sisters talking,https://www.youtube.com/watch?v=h0tC1cGMMXw,,"211, 212, 213, 214, 215, 216, 217, 218, 219",
girl doing mom's hair,https://www.youtube.com/watch?v=P1y743dvmSs,,"220, 221, 222, 223, 224, 225, 226, 227",
decorating the Christmas tree,https://www.youtube.com/watch?v=BTQCIA-eChg,,"228, 229, 230, 231",
watching TV,https://www.youtube.com/watch?v=AmWVlA5EZnA,,"232, 233, 234",
child observation,https://www.youtube.com/watch?v=007jTSdsrg0,"There are numerous videos on YouTube on ""focused observations"" involving kids interactions",,
adult and kids interaction,https://www.youtube.com/watch?v=6j-CG9i7Xj4,,"235, 236",Low Quality
adult and kids interaction,https://www.youtube.com/watch?v=Lq5-tJA1GTA,,"237, 238, 239",Low Quality
adult and kids interaction,https://www.youtube.com/watch?v=e6Eaj50AR54,,"240, 241, 242, 243",Low Quality and Change in Language
daycare,https://www.youtube.com/watch?v=GpPNlOmziXo,,244,Low Quality and Subtitles
mother and child,https://www.youtube.com/watch?v=D5dkBifv7K0,,"245, 246, 247, 248, 249, 250, 251, 252",Heavy Accent but useful actions
parents and children,https://www.youtube.com/watch?v=IRuF1TEHoSY,,,Come back to this. Low Quality but 30 mins of video
room dialogue,https://www.youtube.com/watch?v=NCYuEzuAzNc,,,Shot in Potrait Mode
classroom dialogue,https://www.youtube.com/watch?v=WBG_uh4DPRQ,,,"Really bad quality, but 15 mins of video"
trick observation,https://www.youtube.com/watch?v=x0ElnSEgJW0,starts at 0:45,"253, 254",
classroom dialogue,https://www.youtube.com/watch?v=sljGAlpbiIU,starts at 2:00,,Come back to this. Not a lot of information in this video.
child observation,https://www.youtube.com/watch?v=fdZJiWnxhg0,,"255, 256, 257",Low Quality
kids playing inside,https://www.youtube.com/watch?v=dBB_OVkk6kw,starts at 0:30,"258, 259",Low Quality
dialogue,https://www.youtube.com/watch?v=fy0tPeMA2E0,,"260, 261, 262",
dialogue,https://www.youtube.com/watch?v=v0hJuq-WKnM,,"263, 264, 265, 266",
dialogue,https://www.youtube.com/watch?v=gnArvcWaH6I,,"267, 268, 269",Low Quality
dialogue,https://www.youtube.com/watch?v=R3U_T6C9NtU,,"270, 271, 272, 273",Low Quality
dialogue,https://www.youtube.com/watch?v=SrBp1Ojt5Z0,,"274, 275",
dialogue,https://www.youtube.com/watch?v=R9lkOjLNzU4,,"276, 277, 278",
dialogue,https://www.youtube.com/watch?v=0FgFZIEt5YQ,,"279, 280",Low Quality
dialogue,https://www.youtube.com/watch?v=pqa_vCODSJQ,,,Come back since this has a lot of repetitive videos selected already 
dialogue,https://www.youtube.com/watch?v=QeMhmYE_V9g,,,Come back since this has a lot of repetitive videos selected already 
